NAME,GPSX,GPSY,TYPE,POI_DENSITY,NUM_SPACE
cme1,113.3437434,23.12339328,1,8,1000
cme2,113.325132,23.13242902,1,17,660
cme3,113.2948248,23.26743393,1,3,207
cme4,113.3028969,23.15228705,1,8,750
cme5,113.3252502,23.14748197,1,14,830
cme6,113.2916396,23.08951523,1,9,60
cme7,113.3283144,23.11409799,1,7,550
cme8,113.2701471,23.12177905,1,18,600
cme9,113.327068,23.12555586,1,13,300
cme10,113.3279818,23.13520671,1,17,2600
hos1,113.478346,23.177209,2,2,408
hos2,113.2706123,23.08050601,2,9,700
hos3,113.3502826,23.12583585,2,7,1000
off1,113.4251731,23.16627161,3,2,200
off2,113.3069747,23.12422319,3,15,98
off3,113.3234211,23.14172999,3,17,120
off4,113.3179822,23.11882231,3,12,325
off5,113.3443648,23.12703414,3,9,170
res1,113.3323725,23.19257827,4,5,946
res2,113.2779077,23.07752852,4,8,220
res3,113.2658702,23.09307961,4,14,800
res4,113.2428148,23.12071335,4,20,280
res5,113.334501,23.12359778,4,10,250
spo1,113.4164538,23.13087139,5,7,4000
spo2,113.2777207,23.18701562,5,2,6000
spo3,113.259281,23.14075469,5,12,700
tou1,113.3254533,23.09945792,6,11,300
tou2,113.4053464,23.03507704,6,5,2000
tou3,113.3391737,23.17002269,6,5,300
tou4,113.3245546,23.10638803,6,8,500
